latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
2.57524,97.9676,337.42,0.48,0.48,2025-07-01,716,N21,VIIRS,n,2.0NRT,294.9,4.5,D
2.62268,97.86526,330.78,0.47,0.48,2025-07-01,716,N21,VIIRS,n,2.0NRT,296.64,4.35,D
2.61926,97.86741,340.79,0.47,0.48,2025-07-01,716,N21,VIIRS,n,2.0NRT,297.42,4.23,D
2.64806,97.81985,340.81,0.47,0.48,2025-07-01,716,N21,VIIRS,n,2.0NRT,298.95,7.52,D
2.66179,97.82212,339.85,0.47,0.48,2025-07-01,716,N21,VIIRS,n,2.0NRT,300.27,6.05,D
2.70742,98.06838,337.0,0.49,0.49,2025-07-01,716,N21,VIIRS,n,2.0NRT,296.17,4.88,D
2.68047,97.79781,330.32,0.47,0.48,2025-07-01,716,N21,VIIRS,n,2.0NRT,296.83,2.8,D
2.6761,97.76865,335.15,0.47,0.48,2025-07-01,716,N21,VIIRS,n,2.0NRT,299.68,7.79,D
2.67547,97.76448,341.84,0.47,0.48,2025-07-01,716,N21,VIIRS,n,2.0NRT,298.18,7.79,D
2.68359,97.78888,331.06,0.47,0.48,2025-07-01,716,N21,VIIRS,l,2.0NRT,302.31,8.84,D
2.68108,97.77219,340.67,0.47,0.48,2025-07-01,716,N21,VIIRS,n,2.0NRT,298.29,10.51,D
2.68045,97.76801,344.54,0.47,0.48,2025-07-01,716,N21,VIIRS,n,2.0NRT,298.0,7.11,D
2.69668,97.78699,346.89,0.47,0.48,2025-07-01,716,N21,VIIRS,n,2.0NRT,302.93,11.29,D
2.70848,97.77666,333.34,0.47,0.48,2025-07-01,716,N21,VIIRS,n,2.0NRT,299.16,11.83,D
2.71347,97.7802,340.3,0.47,0.48,2025-07-01,716,N21,VIIRS,n,2.0NRT,299.21,11.83,D
2.7147,97.78106,334.63,0.47,0.48,2025-07-01,716,N21,VIIRS,n,2.0NRT,296.72,10.6,D
2.71409,97.77686,339.18,0.47,0.48,2025-07-01,716,N21,VIIRS,n,2.0NRT,297.95,10.6,D
2.82575,97.67939,337.52,0.46,0.47,2025-07-01,716,N21,VIIRS,n,2.0NRT,297.14,2.63,D
2.85099,97.79117,333.74,0.47,0.48,2025-07-01,716,N21,VIIRS,n,2.0NRT,296.47,2.64,D
2.84059,97.68994,338.83,0.47,0.47,2025-07-01,716,N21,VIIRS,n,2.0NRT,297.75,5.67,D
2.83998,97.68579,355.42,0.47,0.47,2025-07-01,716,N21,VIIRS,n,2.0NRT,300.42,13.67,D
2.90154,97.83029,331.69,0.48,0.48,2025-07-01,716,N21,VIIRS,n,2.0NRT,297.02,5.0,D
2.97303,97.98033,339.21,0.49,0.49,2025-07-01,716,N21,VIIRS,n,2.0NRT,300.58,7.48,D
3.00757,97.52271,339.69,0.46,0.47,2025-07-01,716,N21,VIIRS,n,2.0NRT,297.85,13.07,D
3.01025,97.52268,338.63,0.46,0.47,2025-07-01,716,N21,VIIRS,n,2.0NRT,295.87,10.57,D
3.12013,98.09207,335.19,0.5,0.49,2025-07-01,716,N21,VIIRS,n,2.0NRT,295.69,3.09,D
3.03493,97.39252,344.6,0.45,0.47,2025-07-01,716,N21,VIIRS,n,2.0NRT,298.78,8.55,D
3.04038,97.39986,329.08,0.45,0.47,2025-07-01,716,N21,VIIRS,n,2.0NRT,297.43,7.26,D
3.13809,97.93629,331.21,0.49,0.48,2025-07-01,716,N21,VIIRS,n,2.0NRT,293.02,4.45,D
3.33842,97.13462,341.5,0.43,0.46,2025-07-01,716,N21,VIIRS,n,2.0NRT,298.74,16.01,D
3.42355,97.12379,334.81,0.44,0.46,2025-07-01,716,N21,VIIRS,n,2.0NRT,294.92,3.31,D
3.76998,97.61402,338.57,0.47,0.48,2025-07-01,716,N21,VIIRS,n,2.0NRT,296.9,7.44,D
3.77073,97.61462,340.32,0.48,0.48,2025-07-01,716,N21,VIIRS,n,2.0NRT,297.46,9.12,D
3.95128,97.32324,334.39,0.46,0.47,2025-07-01,716,N21,VIIRS,n,2.0NRT,299.91,4.82,D
4.04104,97.37715,333.12,0.46,0.47,2025-07-01,716,N21,VIIRS,n,2.0NRT,298.23,3.86,D
4.03968,97.01749,337.21,0.44,0.46,2025-07-01,716,N21,VIIRS,n,2.0NRT,296.23,3.49,D
4.11063,96.56024,340.34,0.41,0.45,2025-07-01,716,N21,VIIRS,n,2.0NRT,298.61,5.35,D
4.16231,96.25961,328.33,0.39,0.44,2025-07-01,716,N21,VIIRS,n,2.0NRT,296.38,6.42,D
4.16633,96.25902,339.36,0.39,0.44,2025-07-01,716,N21,VIIRS,n,2.0NRT,297.05,6.42,D
4.43317,96.5162,335.08,0.41,0.45,2025-07-01,716,N21,VIIRS,n,2.0NRT,292.0,3.14,D
4.49709,96.80569,337.03,0.43,0.46,2025-07-01,716,N21,VIIRS,n,2.0NRT,294.1,3.04,D
4.37825,95.97929,333.91,0.57,0.43,2025-07-01,716,N21,VIIRS,n,2.0NRT,298.05,16.42,D
4.4975,96.75101,349.42,0.43,0.46,2025-07-01,716,N21,VIIRS,n,2.0NRT,297.07,29.12,D
4.38221,95.97873,341.25,0.57,0.43,2025-07-01,716,N21,VIIRS,n,2.0NRT,300.14,16.42,D
4.50174,96.75092,344.18,0.43,0.46,2025-07-01,716,N21,VIIRS,n,2.0NRT,296.29,12.57,D
4.40021,96.01771,330.52,0.57,0.43,2025-07-01,716,N21,VIIRS,n,2.0NRT,296.35,6.02,D
4.40256,96.01473,333.99,0.57,0.43,2025-07-01,716,N21,VIIRS,n,2.0NRT,296.46,5.91,D
4.51647,96.75302,338.9,0.43,0.46,2025-07-01,716,N21,VIIRS,n,2.0NRT,295.46,5.39,D
4.52718,96.67968,330.4,0.42,0.45,2025-07-01,716,N21,VIIRS,n,2.0NRT,294.55,8.75,D
4.4442,96.07796,340.64,0.39,0.44,2025-07-01,716,N21,VIIRS,n,2.0NRT,293.33,4.49,D
2.66616,97.82146,335.42,0.47,0.48,2025-07-01,716,N21,VIIRS,n,2.0NRT,299.1,6.05,D
4.50989,95.78461,335.82,0.56,0.43,2025-07-01,718,N21,VIIRS,n,2.0NRT,299.35,9.39,D
4.70585,97.04926,329.99,0.45,0.47,2025-07-01,718,N21,VIIRS,n,2.0NRT,294.69,3.96,D
4.64805,96.64998,354.74,0.42,0.45,2025-07-01,718,N21,VIIRS,n,2.0NRT,295.61,12.22,D
4.6531,96.65549,340.46,0.42,0.45,2025-07-01,718,N21,VIIRS,n,2.0NRT,295.95,19.92,D
4.64937,96.6009,332.49,0.42,0.45,2025-07-01,718,N21,VIIRS,n,2.0NRT,294.77,3.51,D
4.59417,95.67439,333.77,0.55,0.43,2025-07-01,718,N21,VIIRS,n,2.0NRT,296.65,4.87,D
4.73407,96.61424,334.26,0.42,0.45,2025-07-01,718,N21,VIIRS,n,2.0NRT,296.56,3.71,D
4.74138,96.6358,339.15,0.42,0.45,2025-07-01,718,N21,VIIRS,n,2.0NRT,296.06,5.33,D
5.14443,96.43081,332.86,0.42,0.45,2025-07-01,718,N21,VIIRS,n,2.0NRT,296.52,5.5,D
5.32618,95.60669,332.73,0.56,0.43,2025-07-01,718,N21,VIIRS,n,2.0NRT,298.23,5.63,D
5.32613,95.60389,340.05,0.56,0.43,2025-07-01,718,N21,VIIRS,n,2.0NRT,299.24,19.54,D
5.33005,95.60332,339.36,0.56,0.43,2025-07-01,718,N21,VIIRS,n,2.0NRT,299.86,19.54,D
2.57566,97.96352,327.46,0.4,0.37,2025-07-02,659,N21,VIIRS,n,2.0NRT,281.14,5.11,D
2.62866,97.82267,332.53,0.4,0.37,2025-07-02,659,N21,VIIRS,n,2.0NRT,282.46,4.02,D
2.62812,97.81909,334.0,0.4,0.37,2025-07-02,659,N21,VIIRS,n,2.0NRT,283.53,4.02,D
2.63148,97.81857,327.07,0.4,0.37,2025-07-02,659,N21,VIIRS,n,2.0NRT,283.36,4.96,D
2.64832,97.81602,328.84,0.4,0.37,2025-07-02,659,N21,VIIRS,n,2.0NRT,280.78,4.25,D
2.6749,97.76449,330.12,0.4,0.37,2025-07-02,659,N21,VIIRS,n,2.0NRT,276.13,3.22,D
2.82499,97.68254,327.15,0.4,0.37,2025-07-02,659,N21,VIIRS,n,2.0NRT,283.17,2.68,D
2.89943,97.78785,334.17,0.4,0.37,2025-07-02,659,N21,VIIRS,n,2.0NRT,275.82,3.83,D
3.40419,98.3383,330.65,0.42,0.38,2025-07-02,659,N21,VIIRS,n,2.0NRT,290.68,2.57,D
3.34742,97.13645,332.7,0.39,0.36,2025-07-02,659,N21,VIIRS,n,2.0NRT,294.52,2.94,D
3.38266,97.14478,331.69,0.39,0.36,2025-07-02,659,N21,VIIRS,n,2.0NRT,296.97,6.2,D
