latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-1.24729,116.8154,303.86,0.41,0.37,2025-07-08,1743,N21,VIIRS,n,2.0NRT,286.41,1.6,N
-1.24525,116.81514,331.44,0.44,0.38,2025-07-12,527,N21,VIIRS,n,2.0NRT,295.14,1.28,D
-1.24553,116.81316,320.33,0.4,0.37,2025-07-14,1732,N21,VIIRS,n,2.0NRT,278.14,2.05,N
-1.24553,116.81524,329.1,0.38,0.36,2025-07-19,1739,N21,VIIRS,n,2.0NRT,290.4,3.01,N
-1.24594,116.81166,324.7,0.54,0.42,2025-07-20,1720,N21,VIIRS,n,2.0NRT,294.95,5.28,N
-1.24727,116.81564,329.9,0.41,0.45,2025-07-21,559,N21,VIIRS,n,2.0NRT,296.21,1.73,D
-1.24189,116.82141,306.15,0.38,0.59,2025-07-21,1700,N21,VIIRS,n,2.0NRT,290.24,1.2,N
-1.24427,116.81719,338.16,0.56,0.69,2025-07-25,622,N21,VIIRS,n,2.0NRT,290.41,3.59,D
-1.24615,116.81486,334.07,0.44,0.38,2025-07-28,527,N21,VIIRS,n,2.0NRT,296.34,2.32,D
-1.24403,116.81425,309.32,0.33,0.55,2025-07-28,1811,N21,VIIRS,n,2.0NRT,292.86,2.54,N
-1.24447,116.81714,308.05,0.33,0.55,2025-07-28,1811,N21,VIIRS,n,2.0NRT,292.68,2.58,N
-1.24906,116.81346,318.3,0.33,0.55,2025-07-28,1811,N21,VIIRS,n,2.0NRT,292.73,3.26,N
-1.2495,116.8163,314.91,0.33,0.55,2025-07-28,1811,N21,VIIRS,n,2.0NRT,292.32,2.57,N
-1.2479,116.81407,330.96,0.48,0.4,2025-07-29,1749,N21,VIIRS,n,2.0NRT,296.06,6.78,N
-1.24785,116.81623,320.37,0.48,0.4,2025-07-29,1749,N21,VIIRS,n,2.0NRT,295.28,2.5,N
-1.2472,116.8119,309.89,0.48,0.4,2025-07-29,1749,N21,VIIRS,n,2.0NRT,295.58,2.5,N
-1.24478,116.81236,318.18,0.4,0.37,2025-07-30,1732,N21,VIIRS,n,2.0NRT,282.13,2.56,N
