latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-7.04768,107.74464,330.21,0.41,0.37,2025-07-31,610,N21,VIIRS,l,2.0NRT,301.71,4.41,D
-7.04655,107.74297,330.88,0.41,0.37,2025-08-16,610,N21,VIIRS,l,2.0NRT,301.36,3.44,D
-7.00516,107.74059,332.93,0.41,0.37,2025-08-16,610,N21,VIIRS,n,2.0NRT,300.76,4.17,D
-6.97352,107.69033,331.44,0.41,0.37,2025-08-16,610,N21,VIIRS,n,2.0NRT,299.13,4.69,D
-6.97204,107.68884,333.46,0.48,0.4,2025-08-27,603,N21,VIIRS,n,2.0NRT,303.06,4.43,D
-6.9682,107.61296,334.76,0.49,0.4,2025-08-27,603,N21,VIIRS,n,2.0NRT,304.44,3.06,D
-6.96388,107.61681,333.3,0.49,0.4,2025-08-27,603,N21,VIIRS,n,2.0NRT,302.9,5.48,D
-7.04612,107.74439,330.58,0.41,0.37,2025-09-01,610,N21,VIIRS,l,2.0NRT,302.13,4.05,D
-7.03699,107.59476,330.51,0.42,0.37,2025-09-01,610,N21,VIIRS,l,2.0NRT,304.27,3.62,D
-6.96389,107.61487,333.58,0.42,0.37,2025-09-01,610,N21,VIIRS,n,2.0NRT,300.33,2.67,D
-7.04379,107.73,327.89,0.38,0.36,2025-09-06,616,N21,VIIRS,l,2.0NRT,299.18,2.12,D
-7.04657,107.73396,328.17,0.38,0.36,2025-09-06,616,N21,VIIRS,l,2.0NRT,300.28,2.12,D
-7.04882,107.74138,328.99,0.38,0.36,2025-09-06,616,N21,VIIRS,l,2.0NRT,299.37,3.69,D
-7.04829,107.74483,331.24,0.38,0.36,2025-09-06,616,N21,VIIRS,n,2.0NRT,300.57,3.0,D
-7.04777,107.74829,329.21,0.38,0.36,2025-09-06,616,N21,VIIRS,l,2.0NRT,301.0,3.0,D
-7.04817,107.74682,328.93,0.39,0.44,2025-09-07,557,N21,VIIRS,l,2.0NRT,302.92,4.44,D
-6.97218,107.61137,329.79,0.4,0.44,2025-09-07,557,N21,VIIRS,n,2.0NRT,296.1,4.08,D
-6.96706,107.61804,328.38,0.4,0.44,2025-09-07,557,N21,VIIRS,n,2.0NRT,296.71,2.65,D
-6.96546,107.61734,325.93,0.33,0.55,2025-09-13,546,N21,VIIRS,l,2.0NRT,297.22,2.89,D
-7.0491,107.7477,331.77,0.38,0.36,2025-09-22,616,N21,VIIRS,n,2.0NRT,301.48,4.37,D
-7.04632,107.74373,330.36,0.38,0.36,2025-09-22,616,N21,VIIRS,l,2.0NRT,301.06,3.88,D
-7.04765,107.74606,333.46,0.4,0.44,2025-09-23,557,N21,VIIRS,l,2.0NRT,304.73,3.84,D
-7.04817,107.74251,330.81,0.4,0.44,2025-09-23,557,N21,VIIRS,l,2.0NRT,304.04,3.84,D
-7.04869,107.73895,330.4,0.4,0.44,2025-09-23,557,N21,VIIRS,l,2.0NRT,303.76,3.75,D
-7.04516,107.73476,332.98,0.4,0.44,2025-09-23,557,N21,VIIRS,n,2.0NRT,302.86,3.68,D
-6.97276,107.6917,330.74,0.4,0.44,2025-09-23,557,N21,VIIRS,l,2.0NRT,302.87,4.04,D
-6.97576,107.61106,332.15,0.4,0.45,2025-09-23,557,N21,VIIRS,l,2.0NRT,304.4,2.24,D
-6.97168,107.6105,332.36,0.4,0.45,2025-09-23,557,N21,VIIRS,l,2.0NRT,304.46,3.17,D
-6.97142,107.61341,332.22,0.4,0.44,2025-09-23,557,N21,VIIRS,l,2.0NRT,304.34,2.92,D
-6.96734,107.61286,331.51,0.4,0.44,2025-09-23,557,N21,VIIRS,l,2.0NRT,303.04,2.92,D
