latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-3.36148,105.36392,325.46,0.7,0.75,2025-07-01,533,N21,VIIRS,n,2.0NRT,286.26,6.35,D
-1.77436,105.515,339.93,0.68,0.74,2025-07-01,714,N21,VIIRS,n,2.0NRT,281.27,16.88,D
-1.77537,105.50895,346.43,0.68,0.74,2025-07-01,714,N21,VIIRS,n,2.0NRT,281.76,16.88,D
-2.72422,106.15099,333.7,0.73,0.76,2025-07-01,714,N21,VIIRS,n,2.0NRT,288.93,8.16,D
-2.63725,105.9129,328.63,0.7,0.75,2025-07-01,714,N21,VIIRS,n,2.0NRT,288.3,6.77,D
-2.63641,105.91331,329.39,0.71,0.75,2025-07-01,714,N21,VIIRS,n,2.0NRT,288.42,5.79,D
-1.77889,105.51605,332.24,0.68,0.74,2025-07-01,716,N21,VIIRS,n,2.0NRT,281.3,19.5,D
-1.77987,105.50996,353.46,0.68,0.74,2025-07-01,716,N21,VIIRS,n,2.0NRT,281.57,22.16,D
-1.79114,105.4237,302.14,0.4,0.37,2025-07-01,1815,N21,VIIRS,n,2.0NRT,287.4,0.46,N
-1.79171,105.42727,307.23,0.4,0.37,2025-07-01,1815,N21,VIIRS,n,2.0NRT,288.74,0.46,N
-2.80515,106.31268,320.81,0.38,0.36,2025-07-01,1815,N21,VIIRS,n,2.0NRT,293.2,1.98,N
-3.18552,107.67094,350.25,0.43,0.62,2025-07-02,657,N21,VIIRS,n,2.0NRT,291.97,12.03,D
-3.15528,107.71314,330.68,0.43,0.62,2025-07-02,657,N21,VIIRS,n,2.0NRT,289.84,3.01,D
-2.93882,106.45455,367.0,0.36,0.57,2025-07-02,657,N21,VIIRS,h,2.0NRT,292.9,19.0,D
-2.76172,106.31664,367.0,0.35,0.57,2025-07-02,657,N21,VIIRS,h,2.0NRT,292.54,11.16,D
-2.76616,106.25671,329.4,0.35,0.57,2025-07-02,657,N21,VIIRS,n,2.0NRT,292.2,2.16,D
-2.65036,106.33877,354.42,0.35,0.57,2025-07-02,657,N21,VIIRS,n,2.0NRT,292.79,10.31,D
-2.61917,106.49747,333.46,0.36,0.58,2025-07-02,657,N21,VIIRS,n,2.0NRT,291.6,5.34,D
-2.64972,106.14775,367.0,0.34,0.56,2025-07-02,657,N21,VIIRS,h,2.0NRT,293.66,7.79,D
-2.64624,106.05428,328.36,0.34,0.56,2025-07-02,657,N21,VIIRS,n,2.0NRT,292.39,3.2,D
-2.02238,105.84345,338.51,0.33,0.56,2025-07-02,657,N21,VIIRS,n,2.0NRT,291.2,3.34,D
-1.94004,105.70912,367.0,0.33,0.55,2025-07-02,657,N21,VIIRS,h,2.0NRT,296.31,16.37,D
