latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-2.28345,102.36569,327.3,0.41,0.6,2025-07-01,714,N21,VIIRS,n,2.0NRT,289.47,3.89,D
-3.12996,103.93528,348.69,0.51,0.66,2025-07-01,714,N21,VIIRS,n,2.0NRT,286.1,29.35,D
-3.69649,102.72504,327.47,0.41,0.61,2025-07-01,714,N21,VIIRS,n,2.0NRT,281.64,4.61,D
-3.96344,102.48132,326.52,0.39,0.59,2025-07-01,714,N21,VIIRS,n,2.0NRT,287.46,2.64,D
-3.80594,103.81787,330.58,0.48,0.65,2025-07-01,714,N21,VIIRS,n,2.0NRT,284.43,3.77,D
-3.12919,103.93983,345.91,0.51,0.66,2025-07-01,714,N21,VIIRS,n,2.0NRT,285.45,29.35,D
-2.87991,101.56724,352.59,0.35,0.57,2025-07-01,714,N21,VIIRS,n,2.0NRT,286.07,17.42,D
-2.87939,101.5704,355.76,0.35,0.57,2025-07-01,714,N21,VIIRS,l,2.0NRT,287.13,17.7,D
-2.87424,101.56939,343.19,0.35,0.57,2025-07-01,714,N21,VIIRS,n,2.0NRT,287.07,17.7,D
-2.87476,101.56625,353.98,0.35,0.57,2025-07-01,714,N21,VIIRS,n,2.0NRT,287.05,17.42,D
-2.53262,102.5739,345.28,0.42,0.61,2025-07-01,714,N21,VIIRS,n,2.0NRT,289.25,6.77,D
-2.56702,101.90109,336.02,0.37,0.58,2025-07-01,714,N21,VIIRS,n,2.0NRT,289.64,6.69,D
-2.28981,102.53348,367.0,0.42,0.61,2025-07-01,714,N21,VIIRS,h,2.0NRT,291.28,44.83,D
-2.28328,102.36652,331.99,0.41,0.6,2025-07-01,716,N21,VIIRS,n,2.0NRT,290.09,3.72,D
-2.01858,103.80096,311.97,0.46,0.39,2025-07-01,1815,N21,VIIRS,n,2.0NRT,292.41,1.76,N
-2.01768,103.80219,306.84,0.46,0.39,2025-07-01,1815,N21,VIIRS,n,2.0NRT,292.27,1.9,N
-2.51365,103.41146,329.75,0.47,0.4,2025-07-01,1815,N21,VIIRS,n,2.0NRT,292.04,3.0,N
-2.51432,103.41567,311.27,0.47,0.4,2025-07-01,1815,N21,VIIRS,n,2.0NRT,291.65,3.0,N
-2.4879,103.13508,305.27,0.49,0.4,2025-07-01,1815,N21,VIIRS,n,2.0NRT,291.26,1.18,N
-3.50451,103.02285,333.9,0.41,0.45,2025-07-02,657,N21,VIIRS,n,2.0NRT,294.04,7.53,D
-3.50821,102.167,332.97,0.54,0.42,2025-07-02,657,N21,VIIRS,n,2.0NRT,297.81,6.66,D
-3.50434,102.16635,332.36,0.54,0.42,2025-07-02,657,N21,VIIRS,n,2.0NRT,297.25,6.66,D
-3.46159,102.00001,336.29,0.53,0.42,2025-07-02,657,N21,VIIRS,n,2.0NRT,302.9,49.03,D
-3.16416,103.60275,341.6,0.45,0.47,2025-07-02,657,N21,VIIRS,n,2.0NRT,291.81,19.43,D
-3.16482,103.59872,331.12,0.45,0.47,2025-07-02,657,N21,VIIRS,n,2.0NRT,291.63,19.43,D
-3.14658,103.38926,330.46,0.44,0.46,2025-07-02,657,N21,VIIRS,n,2.0NRT,295.02,45.84,D
-3.14237,103.38857,297.92,0.44,0.46,2025-07-02,657,N21,VIIRS,l,2.0NRT,300.13,45.84,D
-3.03394,103.68275,349.96,0.46,0.47,2025-07-02,657,N21,VIIRS,n,2.0NRT,298.72,50.71,D
-3.04093,103.55901,329.72,0.45,0.47,2025-07-02,657,N21,VIIRS,n,2.0NRT,297.04,3.72,D
-3.0596,103.3352,342.51,0.43,0.46,2025-07-02,657,N21,VIIRS,n,2.0NRT,297.37,6.0,D
-3.06749,103.28481,340.06,0.43,0.46,2025-07-02,657,N21,VIIRS,n,2.0NRT,298.04,8.41,D
-3.25802,101.76437,346.23,0.52,0.41,2025-07-02,657,N21,VIIRS,n,2.0NRT,302.56,16.64,D
-3.25645,101.74973,335.64,0.52,0.41,2025-07-02,657,N21,VIIRS,n,2.0NRT,302.75,10.05,D
-2.78259,103.44169,334.51,0.45,0.47,2025-07-02,657,N21,VIIRS,n,2.0NRT,296.15,4.64,D
-2.71251,103.20172,339.04,0.43,0.46,2025-07-02,657,N21,VIIRS,n,2.0NRT,295.85,7.26,D
-2.72528,102.80521,338.68,0.41,0.45,2025-07-02,657,N21,VIIRS,n,2.0NRT,296.27,6.12,D
-2.72556,102.80486,339.4,0.41,0.45,2025-07-02,657,N21,VIIRS,n,2.0NRT,295.9,5.88,D
-2.69592,102.83383,339.97,0.41,0.45,2025-07-02,657,N21,VIIRS,n,2.0NRT,298.99,12.65,D
-2.31126,103.43073,330.35,0.45,0.47,2025-07-02,657,N21,VIIRS,n,2.0NRT,295.48,4.5,D
-2.41099,102.62907,329.51,0.4,0.44,2025-07-02,657,N21,VIIRS,n,2.0NRT,296.51,3.35,D
-2.41155,102.62547,334.71,0.4,0.44,2025-07-02,657,N21,VIIRS,n,2.0NRT,296.81,3.35,D
-2.37115,102.51347,340.47,0.39,0.44,2025-07-02,657,N21,VIIRS,n,2.0NRT,298.52,5.32,D
-2.36028,102.5299,328.52,0.4,0.44,2025-07-02,657,N21,VIIRS,n,2.0NRT,298.35,3.07,D
-2.33049,102.66433,336.12,0.4,0.44,2025-07-02,657,N21,VIIRS,n,2.0NRT,299.1,4.46,D
-2.28354,102.83311,339.89,0.41,0.45,2025-07-02,657,N21,VIIRS,n,2.0NRT,298.15,6.21,D
-2.23554,103.06094,348.06,0.43,0.46,2025-07-02,657,N21,VIIRS,n,2.0NRT,297.89,8.28,D
-2.2776,102.57554,337.41,0.4,0.44,2025-07-02,657,N21,VIIRS,n,2.0NRT,294.71,3.94,D
-2.16082,103.04517,336.59,0.43,0.46,2025-07-02,657,N21,VIIRS,n,2.0NRT,295.68,68.18,D
-2.15603,103.04829,333.89,0.43,0.46,2025-07-02,657,N21,VIIRS,n,2.0NRT,294.84,4.21,D
-2.01502,103.00283,332.42,0.43,0.46,2025-07-02,657,N21,VIIRS,n,2.0NRT,295.55,7.82,D
-2.23079,101.51229,329.83,0.52,0.41,2025-07-02,657,N21,VIIRS,n,2.0NRT,295.05,3.36,D
-4.85231,103.42545,342.36,0.39,0.36,2025-07-03,635,N21,VIIRS,n,2.0NRT,296.35,8.81,D
-3.68631,103.09251,339.64,0.39,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,300.24,11.59,D
-3.72351,103.71671,330.44,0.4,0.37,2025-07-03,637,N21,VIIRS,n,2.0NRT,297.45,2.46,D
-3.84159,102.43298,334.09,0.38,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,296.09,3.48,D
-3.38868,103.85409,330.79,0.4,0.37,2025-07-03,637,N21,VIIRS,n,2.0NRT,293.07,1.8,D
-3.59116,102.47143,332.6,0.38,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,293.08,2.49,D
-3.31539,103.75838,341.29,0.4,0.37,2025-07-03,637,N21,VIIRS,n,2.0NRT,300.42,12.12,D
-3.28111,103.60797,333.26,0.39,0.37,2025-07-03,637,N21,VIIRS,n,2.0NRT,295.98,3.33,D
-3.45668,102.2144,335.32,0.38,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,296.45,2.76,D
-3.45048,102.0549,332.72,0.39,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,297.59,4.58,D
-3.16172,103.89217,341.11,0.4,0.37,2025-07-03,637,N21,VIIRS,n,2.0NRT,297.59,22.27,D
-3.10161,103.8678,335.8,0.4,0.37,2025-07-03,637,N21,VIIRS,n,2.0NRT,292.98,4.57,D
-3.19061,103.17788,329.84,0.39,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,298.71,14.04,D
-3.00918,103.60508,341.65,0.4,0.37,2025-07-03,637,N21,VIIRS,n,2.0NRT,296.2,5.74,D
-3.26172,101.75243,343.01,0.39,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,301.2,6.73,D
-3.25682,101.76231,334.67,0.39,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,300.41,6.28,D
-3.25788,101.75539,332.7,0.39,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,300.75,6.73,D
-3.2584,101.75194,334.02,0.39,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,302.0,6.73,D
-3.17537,102.16319,334.4,0.38,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,297.89,10.69,D
-3.23617,101.65269,333.13,0.39,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,296.92,6.51,D
-2.99439,101.76764,335.54,0.39,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,299.58,4.48,D
-2.94365,101.7671,329.13,0.39,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,297.53,2.9,D
-2.6317,103.75788,347.4,0.4,0.37,2025-07-03,637,N21,VIIRS,n,2.0NRT,300.05,8.46,D
-2.71095,103.20222,332.73,0.39,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,299.48,3.94,D
-2.59851,103.07054,333.82,0.39,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,298.73,3.14,D
-2.635,102.83148,332.72,0.39,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,296.62,10.05,D
-2.79544,101.55608,334.61,0.39,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,294.11,4.96,D
-2.37778,102.53328,330.3,0.38,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,295.35,19.32,D
-2.3783,102.52984,332.45,0.38,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,301.38,19.32,D
-2.32938,102.76207,344.74,0.39,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,297.94,5.48,D
-2.36178,102.52734,337.09,0.38,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,296.12,4.54,D
