latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-6.10036,106.66962,315.93,0.35,0.57,2025-07-03,1741,N21,VIIRS,n,2.0NRT,288.09,2.05,N
-6.09713,106.67223,318.96,0.35,0.57,2025-07-03,1741,N21,VIIRS,n,2.0NRT,287.99,1.99,N
-6.09733,106.67319,333.77,0.54,0.51,2025-07-08,1745,N21,VIIRS,n,2.0NRT,290.0,3.83,N
-6.0965,106.66835,304.58,0.54,0.51,2025-07-08,1745,N21,VIIRS,n,2.0NRT,289.96,3.83,N
-6.09677,106.66951,318.33,0.51,0.41,2025-07-11,1830,N21,VIIRS,n,2.0NRT,291.9,2.83,N
-6.09745,106.67409,311.76,0.51,0.41,2025-07-11,1830,N21,VIIRS,n,2.0NRT,291.63,1.82,N
-6.20766,106.65951,316.21,0.51,0.41,2025-07-11,1830,N21,VIIRS,n,2.0NRT,292.24,1.32,N
-6.0976,106.67032,315.73,0.39,0.36,2025-07-12,1813,N21,VIIRS,n,2.0NRT,267.83,1.57,N
-6.09795,106.67117,303.92,0.45,0.63,2025-07-14,1734,N21,VIIRS,n,2.0NRT,283.46,0.68,N
-6.09846,106.67054,317.38,0.51,0.41,2025-07-18,1758,N21,VIIRS,n,2.0NRT,292.79,3.04,N
-6.10016,106.66978,332.59,0.35,0.56,2025-07-19,1741,N21,VIIRS,n,2.0NRT,291.55,3.81,N
-6.10069,106.67288,303.84,0.35,0.56,2025-07-19,1741,N21,VIIRS,n,2.0NRT,291.01,2.44,N
-6.09896,106.6705,315.47,0.43,0.38,2025-07-22,1824,N21,VIIRS,n,2.0NRT,288.28,1.46,N
-6.09813,106.67224,328.25,0.43,0.38,2025-07-23,1804,N21,VIIRS,n,2.0NRT,293.72,3.37,N
-6.09792,106.67313,334.19,0.54,0.51,2025-07-24,1745,N21,VIIRS,n,2.0NRT,292.27,4.83,N
-6.0971,106.6683,305.95,0.54,0.51,2025-07-24,1745,N21,VIIRS,n,2.0NRT,292.05,4.55,N
-6.09546,106.66957,308.38,0.57,0.69,2025-07-25,1728,N21,VIIRS,n,2.0NRT,289.91,1.4,N
-6.09818,106.66909,307.98,0.57,0.69,2025-07-25,1728,N21,VIIRS,n,2.0NRT,289.83,1.15,N
-6.09718,106.67337,316.37,0.51,0.41,2025-07-27,1830,N21,VIIRS,n,2.0NRT,289.74,2.84,N
-6.09864,106.67278,328.44,0.39,0.36,2025-07-28,1813,N21,VIIRS,n,2.0NRT,292.48,3.39,N
-6.08119,106.68038,337.34,0.44,0.39,2025-07-31,612,N21,VIIRS,n,2.0NRT,296.75,4.86,D
-6.09877,106.67042,317.18,0.42,0.46,2025-08-01,1836,N21,VIIRS,n,2.0NRT,293.18,1.75,N
-6.1588,106.88178,310.62,0.39,0.36,2025-08-02,1817,N21,VIIRS,n,2.0NRT,293.21,1.33,N
-6.1088,106.86786,310.41,0.39,0.36,2025-08-02,1817,N21,VIIRS,n,2.0NRT,294.73,2.45,N
-6.09888,106.6711,301.75,0.54,0.51,2025-08-06,1841,N21,VIIRS,n,2.0NRT,289.38,2.31,N
-6.23042,106.91745,306.38,0.42,0.38,2025-08-08,1804,N21,VIIRS,n,2.0NRT,292.59,2.37,N
-6.10015,106.66971,310.4,0.54,0.51,2025-08-09,1745,N21,VIIRS,n,2.0NRT,284.9,1.92,N
-6.09553,106.67048,310.17,0.54,0.51,2025-08-09,1745,N21,VIIRS,n,2.0NRT,285.07,1.48,N
-6.09466,106.67068,301.39,0.57,0.69,2025-08-10,1728,N21,VIIRS,n,2.0NRT,280.58,0.99,N
-6.09813,106.67319,328.07,0.39,0.36,2025-08-13,1813,N21,VIIRS,n,2.0NRT,290.86,1.95,N
-6.09758,106.6697,304.3,0.39,0.36,2025-08-13,1813,N21,VIIRS,n,2.0NRT,289.44,1.95,N
-6.09779,106.66972,314.05,0.42,0.45,2025-08-14,1752,N21,VIIRS,n,2.0NRT,286.07,2.49,N
-6.09843,106.6735,310.83,0.42,0.45,2025-08-14,1752,N21,VIIRS,n,2.0NRT,286.02,1.68,N
-6.10082,106.66974,311.29,0.44,0.63,2025-08-15,1734,N21,VIIRS,n,2.0NRT,289.24,1.11,N
-6.09972,106.66855,303.13,0.45,0.63,2025-08-16,1856,N21,VIIRS,n,2.0NRT,283.67,1.67,N
-6.10028,106.6726,309.07,0.45,0.63,2025-08-16,1856,N21,VIIRS,n,2.0NRT,283.49,1.53,N
-6.09803,106.67208,311.42,0.43,0.38,2025-08-24,1804,N21,VIIRS,n,2.0NRT,290.29,1.6,N
-6.10036,106.67108,302.38,0.54,0.51,2025-08-25,1745,N21,VIIRS,n,2.0NRT,290.29,0.77,N
-6.09657,106.66937,305.34,0.54,0.51,2025-08-25,1745,N21,VIIRS,n,2.0NRT,290.24,1.29,N
-6.14609,106.7635,330.39,0.39,0.36,2025-08-26,625,N21,VIIRS,l,2.0NRT,301.69,1.7,D
-6.14279,106.76299,331.12,0.39,0.36,2025-08-26,625,N21,VIIRS,l,2.0NRT,302.12,1.7,D
