latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-0.45095,104.31902,327.55,0.74,0.76,2025-07-01,533,N21,VIIRS,n,2.0NRT,287.89,14.85,D
-2.28345,102.36569,327.3,0.41,0.6,2025-07-01,714,N21,VIIRS,n,2.0NRT,289.47,3.89,D
-2.87991,101.56724,352.59,0.35,0.57,2025-07-01,714,N21,VIIRS,n,2.0NRT,286.07,17.42,D
-2.87939,101.5704,355.76,0.35,0.57,2025-07-01,714,N21,VIIRS,l,2.0NRT,287.13,17.7,D
-2.87424,101.56939,343.19,0.35,0.57,2025-07-01,714,N21,VIIRS,n,2.0NRT,287.07,17.7,D
-2.87476,101.56625,353.98,0.35,0.57,2025-07-01,714,N21,VIIRS,n,2.0NRT,287.05,17.42,D
-2.53262,102.5739,345.28,0.42,0.61,2025-07-01,714,N21,VIIRS,n,2.0NRT,289.25,6.77,D
-2.56702,101.90109,336.02,0.37,0.58,2025-07-01,714,N21,VIIRS,n,2.0NRT,289.64,6.69,D
-2.28981,102.53348,367.0,0.42,0.61,2025-07-01,714,N21,VIIRS,h,2.0NRT,291.28,44.83,D
-2.28328,102.36652,331.99,0.41,0.6,2025-07-01,716,N21,VIIRS,n,2.0NRT,290.09,3.72,D
-1.26447,102.78158,367.0,0.45,0.63,2025-07-01,716,N21,VIIRS,h,2.0NRT,293.58,14.29,D
-1.26377,102.78587,338.92,0.45,0.63,2025-07-01,716,N21,VIIRS,n,2.0NRT,292.77,14.29,D
-1.41695,101.84621,347.18,0.39,0.59,2025-07-01,716,N21,VIIRS,n,2.0NRT,291.63,6.19,D
-1.25873,102.78057,331.69,0.45,0.63,2025-07-01,716,N21,VIIRS,n,2.0NRT,291.93,5.79,D
-1.41523,101.84327,333.92,0.39,0.59,2025-07-01,716,N21,VIIRS,n,2.0NRT,290.95,4.88,D
-1.2633,102.78382,367.0,0.45,0.63,2025-07-01,716,N21,VIIRS,h,2.0NRT,293.61,27.38,D
-1.26397,102.77952,354.2,0.45,0.63,2025-07-01,716,N21,VIIRS,n,2.0NRT,293.01,19.79,D
-1.16631,101.81191,332.65,0.39,0.59,2025-07-01,716,N21,VIIRS,n,2.0NRT,290.85,4.14,D
-0.91497,103.33019,328.0,0.5,0.66,2025-07-01,716,N21,VIIRS,n,2.0NRT,291.6,4.77,D
-1.01256,101.61636,331.82,0.38,0.59,2025-07-01,716,N21,VIIRS,n,2.0NRT,291.91,2.06,D
-1.01496,101.6157,329.3,0.38,0.59,2025-07-01,716,N21,VIIRS,n,2.0NRT,291.48,2.18,D
-0.8459,102.22861,329.02,0.42,0.61,2025-07-01,716,N21,VIIRS,n,2.0NRT,293.03,5.23,D
-0.84024,102.22814,350.93,0.42,0.61,2025-07-01,716,N21,VIIRS,n,2.0NRT,293.63,5.23,D
-0.24094,103.02896,330.59,0.49,0.65,2025-07-01,716,N21,VIIRS,n,2.0NRT,292.06,3.92,D
-0.24305,103.03166,334.24,0.49,0.65,2025-07-01,716,N21,VIIRS,n,2.0NRT,292.39,6.67,D
-0.11667,102.3842,332.97,0.44,0.63,2025-07-01,716,N21,VIIRS,n,2.0NRT,293.27,3.99,D
-1.26237,102.77966,316.39,0.53,0.42,2025-07-01,1815,N21,VIIRS,n,2.0NRT,291.34,2.14,N
0.44311,101.893,315.36,0.42,0.45,2025-07-01,1815,N21,VIIRS,n,2.0NRT,293.41,4.04,N
-0.03908,103.04239,314.14,0.53,0.42,2025-07-01,1815,N21,VIIRS,n,2.0NRT,291.68,3.08,N
-0.10937,103.04831,306.26,0.53,0.42,2025-07-01,1815,N21,VIIRS,n,2.0NRT,289.96,1.06,N
-0.98938,103.33404,315.73,0.5,0.41,2025-07-01,1815,N21,VIIRS,n,2.0NRT,283.98,2.29,N
-1.16739,103.33932,301.31,0.49,0.41,2025-07-01,1815,N21,VIIRS,n,2.0NRT,284.95,0.65,N
-1.21593,103.41414,300.38,0.49,0.4,2025-07-01,1815,N21,VIIRS,n,2.0NRT,282.3,1.19,N
-1.24028,102.76392,339.82,0.53,0.42,2025-07-01,1815,N21,VIIRS,n,2.0NRT,291.94,9.86,N
-1.24102,102.76857,349.03,0.53,0.42,2025-07-01,1815,N21,VIIRS,n,2.0NRT,292.14,9.86,N
-1.25855,102.78027,334.87,0.53,0.42,2025-07-01,1815,N21,VIIRS,n,2.0NRT,291.47,3.62,N
-1.25927,102.78486,306.52,0.53,0.42,2025-07-01,1815,N21,VIIRS,n,2.0NRT,290.87,3.62,N
-1.2631,102.78427,311.83,0.53,0.42,2025-07-01,1815,N21,VIIRS,n,2.0NRT,291.19,2.14,N
-1.23318,102.44275,300.95,0.55,0.43,2025-07-01,1815,N21,VIIRS,n,2.0NRT,286.8,0.7,N
-1.57009,103.68893,308.76,0.47,0.4,2025-07-01,1815,N21,VIIRS,n,2.0NRT,283.81,1.59,N
-1.565,103.69516,303.62,0.47,0.4,2025-07-01,1815,N21,VIIRS,n,2.0NRT,284.16,1.24,N
-1.57156,103.68988,320.79,0.47,0.4,2025-07-01,1815,N21,VIIRS,n,2.0NRT,285.36,2.07,N
-1.57451,103.68515,312.86,0.47,0.4,2025-07-01,1815,N21,VIIRS,n,2.0NRT,285.15,2.07,N
-2.01858,103.80096,311.97,0.46,0.39,2025-07-01,1815,N21,VIIRS,n,2.0NRT,292.41,1.76,N
-2.01768,103.80219,306.84,0.46,0.39,2025-07-01,1815,N21,VIIRS,n,2.0NRT,292.27,1.9,N
-2.55576,104.77009,301.79,0.41,0.37,2025-07-01,1815,N21,VIIRS,n,2.0NRT,284.33,1.25,N
-2.51365,103.41146,329.75,0.47,0.4,2025-07-01,1815,N21,VIIRS,n,2.0NRT,292.04,3.0,N
-2.51432,103.41567,311.27,0.47,0.4,2025-07-01,1815,N21,VIIRS,n,2.0NRT,291.65,3.0,N
-2.4879,103.13508,305.27,0.49,0.4,2025-07-01,1815,N21,VIIRS,n,2.0NRT,291.26,1.18,N
-2.78259,103.44169,334.51,0.45,0.47,2025-07-02,657,N21,VIIRS,n,2.0NRT,296.15,4.64,D
-2.71251,103.20172,339.04,0.43,0.46,2025-07-02,657,N21,VIIRS,n,2.0NRT,295.85,7.26,D
-2.72528,102.80521,338.68,0.41,0.45,2025-07-02,657,N21,VIIRS,n,2.0NRT,296.27,6.12,D
-2.72556,102.80486,339.4,0.41,0.45,2025-07-02,657,N21,VIIRS,n,2.0NRT,295.9,5.88,D
-2.69592,102.83383,339.97,0.41,0.45,2025-07-02,657,N21,VIIRS,n,2.0NRT,298.99,12.65,D
-2.31126,103.43073,330.35,0.45,0.47,2025-07-02,657,N21,VIIRS,n,2.0NRT,295.48,4.5,D
-2.41099,102.62907,329.51,0.4,0.44,2025-07-02,657,N21,VIIRS,n,2.0NRT,296.51,3.35,D
-2.41155,102.62547,334.71,0.4,0.44,2025-07-02,657,N21,VIIRS,n,2.0NRT,296.81,3.35,D
-2.37115,102.51347,340.47,0.39,0.44,2025-07-02,657,N21,VIIRS,n,2.0NRT,298.52,5.32,D
-2.36028,102.5299,328.52,0.4,0.44,2025-07-02,657,N21,VIIRS,n,2.0NRT,298.35,3.07,D
-2.33049,102.66433,336.12,0.4,0.44,2025-07-02,657,N21,VIIRS,n,2.0NRT,299.1,4.46,D
-2.28354,102.83311,339.89,0.41,0.45,2025-07-02,657,N21,VIIRS,n,2.0NRT,298.15,6.21,D
-2.23554,103.06094,348.06,0.43,0.46,2025-07-02,657,N21,VIIRS,n,2.0NRT,297.89,8.28,D
-2.2776,102.57554,337.41,0.4,0.44,2025-07-02,657,N21,VIIRS,n,2.0NRT,294.71,3.94,D
-2.16082,103.04517,336.59,0.43,0.46,2025-07-02,657,N21,VIIRS,n,2.0NRT,295.68,68.18,D
-2.15603,103.04829,333.89,0.43,0.46,2025-07-02,657,N21,VIIRS,n,2.0NRT,294.84,4.21,D
-2.01502,103.00283,332.42,0.43,0.46,2025-07-02,657,N21,VIIRS,n,2.0NRT,295.55,7.82,D
-2.23079,101.51229,329.83,0.52,0.41,2025-07-02,657,N21,VIIRS,n,2.0NRT,295.05,3.36,D
-1.7412,102.30145,327.55,0.39,0.44,2025-07-02,657,N21,VIIRS,n,2.0NRT,292.9,2.87,D
-1.2698,102.6175,340.69,0.42,0.45,2025-07-02,657,N21,VIIRS,n,2.0NRT,293.18,7.07,D
-1.26446,102.59785,339.42,0.41,0.45,2025-07-02,657,N21,VIIRS,n,2.0NRT,289.57,7.24,D
-1.26034,102.59719,336.07,0.41,0.45,2025-07-02,657,N21,VIIRS,n,2.0NRT,288.37,4.26,D
-1.06937,102.84141,338.63,0.43,0.46,2025-07-02,657,N21,VIIRS,n,2.0NRT,292.39,5.22,D
-0.87649,103.24708,328.86,0.46,0.47,2025-07-02,657,N21,VIIRS,n,2.0NRT,291.83,4.59,D
-0.86344,102.01051,345.37,0.39,0.44,2025-07-02,657,N21,VIIRS,n,2.0NRT,293.46,18.08,D
-1.23956,102.7699,314.04,0.37,0.58,2025-07-02,1758,N21,VIIRS,n,2.0NRT,276.73,1.35,N
-1.23886,102.76889,308.05,0.37,0.58,2025-07-02,1758,N21,VIIRS,n,2.0NRT,276.7,1.53,N
-2.94444,104.13615,338.18,0.41,0.37,2025-07-03,637,N21,VIIRS,n,2.0NRT,297.72,6.22,D
-2.99439,101.76764,335.54,0.39,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,299.58,4.48,D
-2.94365,101.7671,329.13,0.39,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,297.53,2.9,D
-2.6317,103.75788,347.4,0.4,0.37,2025-07-03,637,N21,VIIRS,n,2.0NRT,300.05,8.46,D
-2.71095,103.20222,332.73,0.39,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,299.48,3.94,D
-2.59851,103.07054,333.82,0.39,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,298.73,3.14,D
-2.635,102.83148,332.72,0.39,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,296.62,10.05,D
-2.79544,101.55608,334.61,0.39,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,294.11,4.96,D
-2.37778,102.53328,330.3,0.38,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,295.35,19.32,D
-2.3783,102.52984,332.45,0.38,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,301.38,19.32,D
-2.32938,102.76207,344.74,0.39,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,297.94,5.48,D
-2.36178,102.52734,337.09,0.38,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,296.12,4.54,D
-2.23634,103.06003,330.5,0.39,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,295.99,2.21,D
-2.3099,102.57931,330.85,0.39,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,297.06,1.8,D
-2.344,101.99728,338.41,0.38,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,293.04,8.53,D
-2.28371,102.37074,334.28,0.38,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,295.56,5.65,D
-2.29376,102.03885,330.92,0.38,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,290.67,7.73,D
-2.24818,102.18285,330.38,0.38,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,295.22,3.04,D
-2.17367,102.09055,343.5,0.38,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,288.79,9.39,D
-2.15975,102.13757,332.6,0.38,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,293.03,3.8,D
-2.01609,102.76593,330.76,0.39,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,291.39,2.17,D
-1.71541,103.86781,332.69,0.41,0.37,2025-07-03,637,N21,VIIRS,n,2.0NRT,297.1,2.83,D
-1.76468,103.18674,332.39,0.39,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,296.65,3.89,D
-1.44197,101.67373,336.84,0.39,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,286.01,10.33,D
-1.25959,102.77905,327.1,0.39,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,272.56,4.12,D
-1.2407,102.76825,330.38,0.39,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,274.41,5.26,D
-1.23738,102.76773,337.64,0.39,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,272.76,4.58,D
-0.90569,101.19794,330.59,0.39,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,292.79,1.86,D
-0.63687,101.22303,334.01,0.39,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,295.86,7.45,D
-0.99014,103.33234,309.37,0.72,0.76,2025-07-03,1739,N21,VIIRS,n,2.0NRT,285.43,2.81,N
-1.24933,102.79032,315.96,0.78,0.78,2025-07-03,1739,N21,VIIRS,n,2.0NRT,284.92,6.86,N
-1.26153,102.77573,308.24,0.78,0.78,2025-07-03,1739,N21,VIIRS,n,2.0NRT,285.14,4.14,N
-1.25348,102.78915,321.96,0.78,0.78,2025-07-03,1739,N21,VIIRS,n,2.0NRT,285.21,6.18,N
-1.25849,102.77564,304.38,0.78,0.78,2025-07-03,1739,N21,VIIRS,n,2.0NRT,285.17,6.69,N
0.44086,101.89092,305.0,0.46,0.64,2025-07-03,1917,N21,VIIRS,n,2.0NRT,286.73,2.37,N
-0.48692,102.47849,302.5,0.52,0.67,2025-07-03,1917,N21,VIIRS,n,2.0NRT,285.66,0.81,N
-0.4383,101.61128,307.63,0.45,0.63,2025-07-03,1917,N21,VIIRS,n,2.0NRT,287.23,0.98,N
-0.43918,101.60976,304.5,0.46,0.63,2025-07-03,1919,N21,VIIRS,n,2.0NRT,286.91,0.82,N
-0.53283,101.41861,302.05,0.44,0.63,2025-07-03,1919,N21,VIIRS,n,2.0NRT,286.51,0.68,N
