latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-0.45095,104.31902,327.55,0.74,0.76,2025-07-01,533,N21,VIIRS,n,2.0NRT,287.89,14.85,D
-0.91497,103.33019,328.0,0.5,0.66,2025-07-01,716,N21,VIIRS,n,2.0NRT,291.6,4.77,D
-0.24094,103.02896,330.59,0.49,0.65,2025-07-01,716,N21,VIIRS,n,2.0NRT,292.06,3.92,D
-0.24305,103.03166,334.24,0.49,0.65,2025-07-01,716,N21,VIIRS,n,2.0NRT,292.39,6.67,D
-0.03908,103.04239,314.14,0.53,0.42,2025-07-01,1815,N21,VIIRS,n,2.0NRT,291.68,3.08,N
-0.10937,103.04831,306.26,0.53,0.42,2025-07-01,1815,N21,VIIRS,n,2.0NRT,289.96,1.06,N
-0.98938,103.33404,315.73,0.5,0.41,2025-07-01,1815,N21,VIIRS,n,2.0NRT,283.98,2.29,N
-1.16739,103.33932,301.31,0.49,0.41,2025-07-01,1815,N21,VIIRS,n,2.0NRT,284.95,0.65,N
-1.21593,103.41414,300.38,0.49,0.4,2025-07-01,1815,N21,VIIRS,n,2.0NRT,282.3,1.19,N
-0.87649,103.24708,328.86,0.46,0.47,2025-07-02,657,N21,VIIRS,n,2.0NRT,291.83,4.59,D
0.90785,104.51348,330.14,0.46,0.39,2025-07-03,637,N21,VIIRS,n,2.0NRT,296.46,4.24,D
-0.99014,103.33234,309.37,0.72,0.76,2025-07-03,1739,N21,VIIRS,n,2.0NRT,285.43,2.81,N
-0.98803,103.33051,302.59,0.57,0.52,2025-07-04,1900,N21,VIIRS,n,2.0NRT,289.0,1.31,N
-0.98996,103.3342,305.57,0.57,0.52,2025-07-04,1900,N21,VIIRS,n,2.0NRT,288.85,0.7,N
-1.02295,103.36017,301.54,0.57,0.52,2025-07-04,1900,N21,VIIRS,n,2.0NRT,288.64,0.61,N
0.66717,103.42955,305.61,0.43,0.38,2025-07-05,1841,N21,VIIRS,n,2.0NRT,292.58,1.41,N
0.66474,103.4301,306.39,0.43,0.38,2025-07-05,1841,N21,VIIRS,n,2.0NRT,292.39,1.77,N
1.08459,104.21527,310.47,0.41,0.37,2025-07-06,1821,N21,VIIRS,n,2.0NRT,293.57,2.24,N
-1.10586,103.04784,333.19,0.44,0.39,2025-07-08,644,N21,VIIRS,n,2.0NRT,297.88,4.79,D
1.06489,104.10823,338.48,0.41,0.45,2025-07-10,605,N21,VIIRS,n,2.0NRT,292.44,2.65,D
-1.17579,103.35801,303.99,0.53,0.42,2025-07-10,1847,N21,VIIRS,n,2.0NRT,290.1,1.32,N
0.69268,103.44053,305.81,0.51,0.41,2025-07-10,1847,N21,VIIRS,n,2.0NRT,291.46,0.92,N
0.66777,103.42728,315.91,0.51,0.41,2025-07-10,1847,N21,VIIRS,n,2.0NRT,292.3,2.8,N
0.66673,103.4297,311.95,0.39,0.36,2025-07-11,1828,N21,VIIRS,n,2.0NRT,282.22,1.23,N
0.93036,104.65693,304.06,0.41,0.37,2025-07-16,1834,N21,VIIRS,n,2.0NRT,273.43,0.95,N
0.69377,103.44267,299.1,0.35,0.57,2025-07-18,1756,N21,VIIRS,n,2.0NRT,279.24,0.52,N
0.66209,103.43339,324.15,0.35,0.57,2025-07-18,1756,N21,VIIRS,n,2.0NRT,280.41,3.07,N
-0.05562,104.58717,340.92,0.45,0.39,2025-07-19,637,N21,VIIRS,n,2.0NRT,298.8,32.15,D
0.63126,103.28682,334.03,0.41,0.37,2025-07-19,637,N21,VIIRS,n,2.0NRT,284.29,3.81,D
0.63465,103.28631,332.36,0.41,0.37,2025-07-19,637,N21,VIIRS,n,2.0NRT,285.16,3.77,D
0.66427,103.43542,337.85,0.41,0.37,2025-07-19,637,N21,VIIRS,n,2.0NRT,287.42,6.59,D
0.66371,103.43174,333.52,0.41,0.37,2025-07-19,637,N21,VIIRS,n,2.0NRT,287.67,6.59,D
1.0594,103.3338,332.56,0.41,0.37,2025-07-19,637,N21,VIIRS,n,2.0NRT,298.34,6.45,D
-1.24686,103.00743,334.16,0.39,0.36,2025-07-19,637,N21,VIIRS,n,2.0NRT,300.72,3.9,D
