latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-3.80594,103.81787,330.58,0.48,0.65,2025-07-01,714,N21,VIIRS,n,2.0NRT,284.43,3.77,D
-4.29312,104.95377,328.01,0.57,0.69,2025-07-01,714,N21,VIIRS,n,2.0NRT,281.59,4.75,D
-4.74951,104.99497,331.62,0.53,0.5,2025-07-02,657,N21,VIIRS,n,2.0NRT,295.17,4.73,D
-3.75565,105.16306,339.69,0.56,0.52,2025-07-02,657,N21,VIIRS,n,2.0NRT,294.28,12.14,D
-3.75649,105.15804,339.37,0.56,0.52,2025-07-02,657,N21,VIIRS,n,2.0NRT,294.19,10.98,D
-3.75464,105.16,351.25,0.56,0.52,2025-07-02,657,N21,VIIRS,n,2.0NRT,294.32,17.64,D
-3.86952,104.04288,338.41,0.47,0.48,2025-07-02,657,N21,VIIRS,n,2.0NRT,294.9,6.36,D
-4.76,105.25887,303.23,0.43,0.46,2025-07-02,1758,N21,VIIRS,n,2.0NRT,289.67,0.68,N
-3.67845,104.15724,343.98,0.4,0.37,2025-07-03,637,N21,VIIRS,n,2.0NRT,296.3,11.37,D
-3.72351,103.71671,330.44,0.4,0.37,2025-07-03,637,N21,VIIRS,n,2.0NRT,297.45,2.46,D
-3.80362,103.81354,303.7,0.6,0.71,2025-07-03,1741,N21,VIIRS,n,2.0NRT,285.71,2.66,N
-3.80462,103.81927,308.93,0.6,0.71,2025-07-03,1741,N21,VIIRS,n,2.0NRT,286.02,3.54,N
-3.77864,104.20848,330.35,0.46,0.39,2025-07-04,618,N21,VIIRS,n,2.0NRT,295.0,4.48,D
-3.80745,103.82084,335.37,0.48,0.4,2025-07-04,618,N21,VIIRS,n,2.0NRT,298.88,6.8,D
-3.72583,103.71669,331.5,0.49,0.4,2025-07-04,618,N21,VIIRS,n,2.0NRT,299.04,7.92,D
-4.34553,104.96629,337.69,0.43,0.38,2025-07-04,618,N21,VIIRS,n,2.0NRT,297.02,6.3,D
-4.24896,104.07311,331.03,0.47,0.4,2025-07-04,618,N21,VIIRS,n,2.0NRT,296.04,3.45,D
-4.24836,104.07358,332.6,0.47,0.4,2025-07-04,618,N21,VIIRS,n,2.0NRT,295.97,3.93,D
-4.24222,104.73994,297.39,0.4,0.6,2025-07-04,1902,N21,VIIRS,n,2.0NRT,275.86,1.58,N
-5.99187,105.99725,301.01,0.52,0.67,2025-07-04,1902,N21,VIIRS,n,2.0NRT,282.7,0.87,N
-5.99284,105.99701,301.64,0.52,0.67,2025-07-04,1902,N21,VIIRS,n,2.0NRT,282.48,0.99,N
-4.74428,105.2633,329.78,0.53,0.5,2025-07-05,557,N21,VIIRS,n,2.0NRT,290.99,5.74,D
-3.80802,103.81918,308.9,0.5,0.41,2025-07-05,1841,N21,VIIRS,n,2.0NRT,282.17,2.06,N
-3.72587,103.71467,306.9,0.39,0.36,2025-07-06,1824,N21,VIIRS,n,2.0NRT,278.61,1.78,N
-5.99418,105.99784,304.64,0.41,0.37,2025-07-06,1824,N21,VIIRS,n,2.0NRT,290.97,0.74,N
-3.68908,103.65531,303.42,0.4,0.37,2025-07-06,1824,N21,VIIRS,n,2.0NRT,283.92,0.6,N
-3.72253,103.71518,300.5,0.39,0.36,2025-07-06,1824,N21,VIIRS,n,2.0NRT,277.24,0.84,N
-3.72299,103.71584,317.18,0.45,0.47,2025-07-07,1804,N21,VIIRS,n,2.0NRT,290.44,1.61,N
-3.72725,103.71518,308.71,0.45,0.47,2025-07-07,1804,N21,VIIRS,n,2.0NRT,291.05,1.61,N
-3.72789,103.71917,305.91,0.45,0.47,2025-07-07,1804,N21,VIIRS,n,2.0NRT,289.47,1.61,N
-3.72225,103.71659,310.12,0.45,0.47,2025-07-07,1804,N21,VIIRS,n,2.0NRT,289.7,1.45,N
-3.72652,103.71593,317.28,0.45,0.47,2025-07-07,1804,N21,VIIRS,n,2.0NRT,291.36,1.51,N
-3.72718,103.71993,303.54,0.45,0.47,2025-07-07,1804,N21,VIIRS,n,2.0NRT,289.53,1.51,N
-3.80352,103.81329,308.3,0.44,0.46,2025-07-07,1804,N21,VIIRS,n,2.0NRT,288.31,1.19,N
-3.80839,103.81661,306.11,0.44,0.46,2025-07-07,1804,N21,VIIRS,n,2.0NRT,285.67,2.62,N
-3.77944,103.82514,309.05,0.44,0.46,2025-07-07,1804,N21,VIIRS,n,2.0NRT,290.66,1.65,N
-3.80059,103.82195,303.06,0.44,0.46,2025-07-07,1804,N21,VIIRS,n,2.0NRT,288.39,0.53,N
-5.58245,105.19642,332.35,0.5,0.41,2025-07-08,642,N21,VIIRS,n,2.0NRT,288.7,9.61,D
-4.77607,105.16706,336.86,0.51,0.41,2025-07-08,644,N21,VIIRS,n,2.0NRT,294.49,9.58,D
-3.72714,103.71616,304.62,0.47,0.64,2025-07-08,1745,N21,VIIRS,n,2.0NRT,286.1,3.37,N
