latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-0.45095,104.31902,327.55,0.74,0.76,2025-07-01,533,N21,VIIRS,n,2.0NRT,287.89,14.85,D
-1.26447,102.78158,367.0,0.45,0.63,2025-07-01,716,N21,VIIRS,h,2.0NRT,293.58,14.29,D
-1.26377,102.78587,338.92,0.45,0.63,2025-07-01,716,N21,VIIRS,n,2.0NRT,292.77,14.29,D
-1.41695,101.84621,347.18,0.39,0.59,2025-07-01,716,N21,VIIRS,n,2.0NRT,291.63,6.19,D
-1.25873,102.78057,331.69,0.45,0.63,2025-07-01,716,N21,VIIRS,n,2.0NRT,291.93,5.79,D
-1.41523,101.84327,333.92,0.39,0.59,2025-07-01,716,N21,VIIRS,n,2.0NRT,290.95,4.88,D
-1.2633,102.78382,367.0,0.45,0.63,2025-07-01,716,N21,VIIRS,h,2.0NRT,293.61,27.38,D
-1.26397,102.77952,354.2,0.45,0.63,2025-07-01,716,N21,VIIRS,n,2.0NRT,293.01,19.79,D
-1.4079,100.57121,342.32,0.63,0.54,2025-07-01,716,N21,VIIRS,n,2.0NRT,293.61,27.58,D
-1.4063,100.57424,338.55,0.63,0.54,2025-07-01,716,N21,VIIRS,n,2.0NRT,291.17,14.81,D
-1.40709,100.56912,336.51,0.63,0.54,2025-07-01,716,N21,VIIRS,n,2.0NRT,291.3,14.57,D
-1.16631,101.81191,332.65,0.39,0.59,2025-07-01,716,N21,VIIRS,n,2.0NRT,290.85,4.14,D
-0.91497,103.33019,328.0,0.5,0.66,2025-07-01,716,N21,VIIRS,n,2.0NRT,291.6,4.77,D
-1.01256,101.61636,331.82,0.38,0.59,2025-07-01,716,N21,VIIRS,n,2.0NRT,291.91,2.06,D
-1.01496,101.6157,329.3,0.38,0.59,2025-07-01,716,N21,VIIRS,n,2.0NRT,291.48,2.18,D
-0.8459,102.22861,329.02,0.42,0.61,2025-07-01,716,N21,VIIRS,n,2.0NRT,293.03,5.23,D
-0.84024,102.22814,350.93,0.42,0.61,2025-07-01,716,N21,VIIRS,n,2.0NRT,293.63,5.23,D
-0.24094,103.02896,330.59,0.49,0.65,2025-07-01,716,N21,VIIRS,n,2.0NRT,292.06,3.92,D
-0.62742,100.59917,328.97,0.33,0.55,2025-07-01,716,N21,VIIRS,n,2.0NRT,296.99,3.54,D
-0.62737,100.60121,334.49,0.33,0.55,2025-07-01,716,N21,VIIRS,n,2.0NRT,296.53,2.86,D
-0.24305,103.03166,334.24,0.49,0.65,2025-07-01,716,N21,VIIRS,n,2.0NRT,292.39,6.67,D
-0.58471,100.67703,367.0,0.33,0.55,2025-07-01,716,N21,VIIRS,h,2.0NRT,295.74,8.2,D
-0.54773,100.8141,331.68,0.34,0.56,2025-07-01,716,N21,VIIRS,n,2.0NRT,294.77,4.21,D
-0.11667,102.3842,332.97,0.44,0.63,2025-07-01,716,N21,VIIRS,n,2.0NRT,293.27,3.99,D
0.61765,100.02058,353.98,0.62,0.54,2025-07-01,716,N21,VIIRS,n,2.0NRT,291.13,22.88,D
1.67029,101.47742,341.01,0.41,0.6,2025-07-01,716,N21,VIIRS,n,2.0NRT,293.1,3.98,D
1.89037,100.32664,340.38,0.34,0.56,2025-07-01,716,N21,VIIRS,n,2.0NRT,295.26,4.13,D
2.26263,100.01097,367.0,0.33,0.55,2025-07-01,716,N21,VIIRS,h,2.0NRT,295.98,7.72,D
2.26308,100.01392,342.85,0.33,0.55,2025-07-01,716,N21,VIIRS,n,2.0NRT,294.71,7.72,D
-1.26237,102.77966,316.39,0.53,0.42,2025-07-01,1815,N21,VIIRS,n,2.0NRT,291.34,2.14,N
2.04707,100.52679,297.38,0.55,0.51,2025-07-01,1815,N21,VIIRS,n,2.0NRT,267.28,0.88,N
1.67064,101.47375,307.12,0.47,0.48,2025-07-01,1815,N21,VIIRS,n,2.0NRT,286.35,0.57,N
1.5568,101.53781,313.8,0.46,0.47,2025-07-01,1815,N21,VIIRS,n,2.0NRT,290.72,2.37,N
1.05619,101.27534,303.17,0.47,0.48,2025-07-01,1815,N21,VIIRS,n,2.0NRT,287.14,1.53,N
0.83808,100.193,300.87,0.56,0.51,2025-07-01,1815,N21,VIIRS,n,2.0NRT,278.81,1.17,N
0.83334,100.19254,297.76,0.56,0.51,2025-07-01,1815,N21,VIIRS,n,2.0NRT,278.89,1.17,N
