latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-6.95876,110.47508,333.04,0.43,0.38,2025-07-21,557,N21,VIIRS,l,2.0NRT,305.68,3.56,D
-6.95183,110.47404,332.57,0.43,0.38,2025-07-21,557,N21,VIIRS,l,2.0NRT,306.53,3.76,D
-6.94948,110.46589,330.77,0.43,0.38,2025-07-21,557,N21,VIIRS,l,2.0NRT,304.35,4.57,D
-7.01911,110.35123,331.47,0.39,0.36,2025-07-26,603,N21,VIIRS,n,2.0NRT,300.08,3.57,D
-7.00526,110.35534,333.17,0.43,0.38,2025-08-06,557,N21,VIIRS,n,2.0NRT,299.16,4.8,D
-6.94819,110.49767,330.96,0.39,0.36,2025-08-11,603,N21,VIIRS,n,2.0NRT,299.82,1.9,D
-7.00898,110.35055,340.61,0.51,0.41,2025-08-17,553,N21,VIIRS,n,2.0NRT,298.62,7.9,D
-7.00622,110.36531,333.0,0.51,0.41,2025-08-17,553,N21,VIIRS,n,2.0NRT,299.8,5.04,D
-6.94951,110.46406,331.14,0.5,0.41,2025-08-17,553,N21,VIIRS,l,2.0NRT,301.2,6.06,D
-6.95141,110.43332,306.35,0.46,0.39,2025-08-25,1745,N21,VIIRS,n,2.0NRT,295.59,1.37,N
-6.94977,110.43234,306.18,0.46,0.39,2025-08-25,1745,N21,VIIRS,n,2.0NRT,295.27,1.33,N
-7.01869,110.49908,330.4,0.39,0.36,2025-09-12,603,N21,VIIRS,l,2.0NRT,302.58,3.99,D
-6.997,110.46822,330.59,0.73,0.76,2025-09-25,659,N21,VIIRS,n,2.0NRT,291.13,5.45,D
-6.9959,110.47027,331.33,0.73,0.76,2025-09-25,659,N21,VIIRS,n,2.0NRT,291.32,8.13,D
