latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-3.36148,105.36392,325.46,0.7,0.75,2025-07-01,533,N21,VIIRS,n,2.0NRT,286.26,6.35,D
-3.1441,104.72829,325.29,0.76,0.77,2025-07-01,533,N21,VIIRS,n,2.0NRT,284.44,2.89,D
-1.77436,105.515,339.93,0.68,0.74,2025-07-01,714,N21,VIIRS,n,2.0NRT,281.27,16.88,D
-1.77537,105.50895,346.43,0.68,0.74,2025-07-01,714,N21,VIIRS,n,2.0NRT,281.76,16.88,D
-2.28345,102.36569,327.3,0.41,0.6,2025-07-01,714,N21,VIIRS,n,2.0NRT,289.47,3.89,D
-3.12996,103.93528,348.69,0.51,0.66,2025-07-01,714,N21,VIIRS,n,2.0NRT,286.1,29.35,D
-2.63725,105.9129,328.63,0.7,0.75,2025-07-01,714,N21,VIIRS,n,2.0NRT,288.3,6.77,D
-3.69649,102.72504,327.47,0.41,0.61,2025-07-01,714,N21,VIIRS,n,2.0NRT,281.64,4.61,D
-3.96344,102.48132,326.52,0.39,0.59,2025-07-01,714,N21,VIIRS,n,2.0NRT,287.46,2.64,D
-3.80594,103.81787,330.58,0.48,0.65,2025-07-01,714,N21,VIIRS,n,2.0NRT,284.43,3.77,D
-4.29312,104.95377,328.01,0.57,0.69,2025-07-01,714,N21,VIIRS,n,2.0NRT,281.59,4.75,D
-3.12919,103.93983,345.91,0.51,0.66,2025-07-01,714,N21,VIIRS,n,2.0NRT,285.45,29.35,D
-2.63641,105.91331,329.39,0.71,0.75,2025-07-01,714,N21,VIIRS,n,2.0NRT,288.42,5.79,D
-2.53262,102.5739,345.28,0.42,0.61,2025-07-01,714,N21,VIIRS,n,2.0NRT,289.25,6.77,D
-2.28981,102.53348,367.0,0.42,0.61,2025-07-01,714,N21,VIIRS,h,2.0NRT,291.28,44.83,D
-1.77889,105.51605,332.24,0.68,0.74,2025-07-01,716,N21,VIIRS,n,2.0NRT,281.3,19.5,D
-1.77987,105.50996,353.46,0.68,0.74,2025-07-01,716,N21,VIIRS,n,2.0NRT,281.57,22.16,D
-2.28328,102.36652,331.99,0.41,0.6,2025-07-01,716,N21,VIIRS,n,2.0NRT,290.09,3.72,D
-1.79114,105.4237,302.14,0.4,0.37,2025-07-01,1815,N21,VIIRS,n,2.0NRT,287.4,0.46,N
-1.79171,105.42727,307.23,0.4,0.37,2025-07-01,1815,N21,VIIRS,n,2.0NRT,288.74,0.46,N
-1.57009,103.68893,308.76,0.47,0.4,2025-07-01,1815,N21,VIIRS,n,2.0NRT,283.81,1.59,N
-1.565,103.69516,303.62,0.47,0.4,2025-07-01,1815,N21,VIIRS,n,2.0NRT,284.16,1.24,N
-1.57156,103.68988,320.79,0.47,0.4,2025-07-01,1815,N21,VIIRS,n,2.0NRT,285.36,2.07,N
-1.57451,103.68515,312.86,0.47,0.4,2025-07-01,1815,N21,VIIRS,n,2.0NRT,285.15,2.07,N
-2.01858,103.80096,311.97,0.46,0.39,2025-07-01,1815,N21,VIIRS,n,2.0NRT,292.41,1.76,N
-2.01768,103.80219,306.84,0.46,0.39,2025-07-01,1815,N21,VIIRS,n,2.0NRT,292.27,1.9,N
-2.55576,104.77009,301.79,0.41,0.37,2025-07-01,1815,N21,VIIRS,n,2.0NRT,284.33,1.25,N
-2.51365,103.41146,329.75,0.47,0.4,2025-07-01,1815,N21,VIIRS,n,2.0NRT,292.04,3.0,N
-2.51432,103.41567,311.27,0.47,0.4,2025-07-01,1815,N21,VIIRS,n,2.0NRT,291.65,3.0,N
-2.4879,103.13508,305.27,0.49,0.4,2025-07-01,1815,N21,VIIRS,n,2.0NRT,291.26,1.18,N
-3.41194,104.14629,301.28,0.43,0.38,2025-07-01,1815,N21,VIIRS,n,2.0NRT,284.16,1.76,N
-4.74951,104.99497,331.62,0.53,0.5,2025-07-02,657,N21,VIIRS,n,2.0NRT,295.17,4.73,D
-3.75565,105.16306,339.69,0.56,0.52,2025-07-02,657,N21,VIIRS,n,2.0NRT,294.28,12.14,D
-3.75649,105.15804,339.37,0.56,0.52,2025-07-02,657,N21,VIIRS,n,2.0NRT,294.19,10.98,D
