latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
2.54782,98.63676,338.22,0.54,0.5,2025-07-01,716,N21,VIIRS,n,2.0NRT,290.22,9.5,D
2.55157,98.63022,349.8,0.54,0.5,2025-07-01,716,N21,VIIRS,n,2.0NRT,294.49,9.5,D
2.54365,98.57639,338.69,0.53,0.5,2025-07-01,716,N21,VIIRS,n,2.0NRT,291.8,5.83,D
2.5564,98.63109,338.59,0.54,0.5,2025-07-01,716,N21,VIIRS,n,2.0NRT,293.17,10.4,D
2.54824,98.57574,340.49,0.53,0.5,2025-07-01,716,N21,VIIRS,n,2.0NRT,295.69,11.76,D
2.56132,98.56905,333.72,0.53,0.5,2025-07-01,716,N21,VIIRS,n,2.0NRT,291.31,6.81,D
2.66128,98.79239,338.97,0.55,0.51,2025-07-01,716,N21,VIIRS,n,2.0NRT,290.92,7.91,D
2.71022,98.74915,339.29,0.55,0.51,2025-07-01,716,N21,VIIRS,n,2.0NRT,297.38,8.41,D
2.74849,98.56565,337.22,0.53,0.5,2025-07-01,716,N21,VIIRS,n,2.0NRT,293.95,7.48,D
2.70742,98.06838,337.0,0.49,0.49,2025-07-01,716,N21,VIIRS,n,2.0NRT,296.17,4.88,D
3.12013,98.09207,335.19,0.5,0.49,2025-07-01,716,N21,VIIRS,n,2.0NRT,295.69,3.09,D
1.20462,99.2326,348.65,0.56,0.52,2025-07-01,716,N21,VIIRS,n,2.0NRT,285.09,11.47,D
1.29112,99.01499,338.02,0.54,0.51,2025-07-01,716,N21,VIIRS,n,2.0NRT,295.19,7.54,D
1.28937,99.01144,332.32,0.54,0.51,2025-07-01,716,N21,VIIRS,n,2.0NRT,293.0,9.37,D
1.5723,99.59158,337.54,0.6,0.53,2025-07-01,716,N21,VIIRS,n,2.0NRT,298.97,7.14,D
1.89037,100.32664,340.38,0.34,0.56,2025-07-01,716,N21,VIIRS,n,2.0NRT,295.26,4.13,D
1.81772,99.43499,345.76,0.59,0.53,2025-07-01,716,N21,VIIRS,n,2.0NRT,297.2,23.32,D
1.74458,98.6966,346.69,0.52,0.5,2025-07-01,716,N21,VIIRS,n,2.0NRT,299.26,11.25,D
1.7935,98.67757,332.07,0.52,0.5,2025-07-01,716,N21,VIIRS,n,2.0NRT,297.38,7.46,D
1.92288,99.51788,328.69,0.6,0.53,2025-07-01,716,N21,VIIRS,n,2.0NRT,297.93,5.24,D
1.92446,99.49506,338.82,0.6,0.53,2025-07-01,716,N21,VIIRS,n,2.0NRT,296.12,13.89,D
1.92364,99.48957,336.49,0.6,0.53,2025-07-01,716,N21,VIIRS,n,2.0NRT,295.99,13.89,D
1.8213,98.64471,339.31,0.52,0.5,2025-07-01,716,N21,VIIRS,n,2.0NRT,300.86,7.73,D
1.8206,98.64007,340.02,0.52,0.5,2025-07-01,716,N21,VIIRS,n,2.0NRT,301.23,7.84,D
1.82586,98.644,339.73,0.52,0.5,2025-07-01,716,N21,VIIRS,n,2.0NRT,299.57,7.73,D
1.82516,98.63937,339.78,0.52,0.5,2025-07-01,716,N21,VIIRS,n,2.0NRT,301.72,7.84,D
1.849,98.61214,333.54,0.52,0.5,2025-07-01,716,N21,VIIRS,n,2.0NRT,299.89,9.17,D
1.96515,99.10731,331.6,0.57,0.52,2025-07-01,716,N21,VIIRS,n,2.0NRT,294.23,5.38,D
1.92578,98.6208,330.51,0.52,0.5,2025-07-01,716,N21,VIIRS,n,2.0NRT,296.93,3.04,D
2.01904,98.61653,341.02,0.52,0.5,2025-07-01,716,N21,VIIRS,n,2.0NRT,291.11,13.44,D
2.08567,99.03095,342.46,0.56,0.52,2025-07-01,716,N21,VIIRS,n,2.0NRT,295.08,9.63,D
2.26263,100.01097,367.0,0.33,0.55,2025-07-01,716,N21,VIIRS,h,2.0NRT,295.98,7.72,D
2.26308,100.01392,342.85,0.33,0.55,2025-07-01,716,N21,VIIRS,n,2.0NRT,294.71,7.72,D
2.05422,98.41986,329.84,0.51,0.49,2025-07-01,716,N21,VIIRS,n,2.0NRT,296.64,4.13,D
2.05655,98.4218,333.47,0.51,0.49,2025-07-01,716,N21,VIIRS,n,2.0NRT,296.14,6.2,D
2.17028,98.87434,338.17,0.55,0.51,2025-07-01,716,N21,VIIRS,n,2.0NRT,292.69,8.23,D
2.31216,99.49241,336.99,0.61,0.53,2025-07-01,716,N21,VIIRS,n,2.0NRT,291.54,4.62,D
2.31069,99.49646,338.92,0.61,0.53,2025-07-01,716,N21,VIIRS,n,2.0NRT,292.38,14.74,D
2.33757,99.47566,339.38,0.61,0.53,2025-07-01,716,N21,VIIRS,n,2.0NRT,292.53,24.01,D
2.21527,98.39112,340.77,0.51,0.49,2025-07-01,716,N21,VIIRS,n,2.0NRT,299.59,43.81,D
2.28535,98.82725,330.31,0.55,0.51,2025-07-01,716,N21,VIIRS,n,2.0NRT,293.05,4.96,D
2.2966,98.87047,337.21,0.55,0.51,2025-07-01,716,N21,VIIRS,n,2.0NRT,295.04,20.9,D
2.30274,98.87954,338.3,0.55,0.51,2025-07-01,716,N21,VIIRS,n,2.0NRT,294.91,5.35,D
2.30054,98.8649,338.92,0.55,0.51,2025-07-01,716,N21,VIIRS,n,2.0NRT,299.11,28.47,D
2.24893,98.46107,329.27,0.51,0.5,2025-07-01,716,N21,VIIRS,n,2.0NRT,292.47,3.56,D
2.2247,98.21095,331.56,0.49,0.49,2025-07-01,716,N21,VIIRS,n,2.0NRT,295.25,3.7,D
2.2314,98.16551,339.75,0.49,0.49,2025-07-01,716,N21,VIIRS,n,2.0NRT,297.76,7.64,D
2.23583,98.16479,339.73,0.49,0.49,2025-07-01,716,N21,VIIRS,n,2.0NRT,296.45,5.75,D
2.32848,98.73649,329.71,0.54,0.51,2025-07-01,716,N21,VIIRS,n,2.0NRT,292.92,3.84,D
2.23068,98.16663,337.19,0.49,0.49,2025-07-01,716,N21,VIIRS,n,2.0NRT,297.38,6.47,D
2.23512,98.16594,332.07,0.49,0.49,2025-07-01,716,N21,VIIRS,n,2.0NRT,296.2,4.58,D
2.24584,98.11533,333.76,0.49,0.48,2025-07-01,716,N21,VIIRS,n,2.0NRT,296.25,4.3,D
2.36147,98.8371,339.68,0.55,0.51,2025-07-01,716,N21,VIIRS,n,2.0NRT,299.07,8.21,D
2.36065,98.83155,333.91,0.55,0.51,2025-07-01,716,N21,VIIRS,n,2.0NRT,295.0,8.58,D
2.29798,99.46322,303.98,0.33,0.55,2025-07-01,1815,N21,VIIRS,n,2.0NRT,284.6,0.59,N
1.81964,99.43661,297.17,0.33,0.55,2025-07-01,1815,N21,VIIRS,n,2.0NRT,281.73,0.44,N
1.85116,98.61463,298.99,0.37,0.58,2025-07-01,1815,N21,VIIRS,n,2.0NRT,283.86,1.07,N
1.84583,98.61387,300.93,0.37,0.58,2025-07-01,1815,N21,VIIRS,n,2.0NRT,285.53,1.07,N
1.82543,98.64137,312.03,0.37,0.58,2025-07-01,1815,N21,VIIRS,n,2.0NRT,288.28,2.06,N
1.82013,98.64054,302.67,0.37,0.58,2025-07-01,1815,N21,VIIRS,n,2.0NRT,287.06,2.06,N
1.82637,98.64104,309.77,0.37,0.58,2025-07-01,1815,N21,VIIRS,n,2.0NRT,288.16,1.51,N
1.82586,98.64435,300.21,0.37,0.58,2025-07-01,1815,N21,VIIRS,n,2.0NRT,286.29,1.51,N
1.82107,98.64024,306.7,0.37,0.58,2025-07-01,1815,N21,VIIRS,n,2.0NRT,287.43,1.51,N
1.82056,98.64352,300.39,0.37,0.58,2025-07-01,1815,N21,VIIRS,n,2.0NRT,285.53,1.51,N
1.4545,98.8166,298.77,0.36,0.57,2025-07-01,1815,N21,VIIRS,n,2.0NRT,278.95,1.64,N
1.45399,98.81989,303.85,0.35,0.57,2025-07-01,1815,N21,VIIRS,n,2.0NRT,276.4,1.28,N
1.46187,98.89961,336.19,0.43,0.38,2025-07-02,659,N21,VIIRS,n,2.0NRT,296.75,8.88,D
3.40419,98.3383,330.65,0.42,0.38,2025-07-02,659,N21,VIIRS,n,2.0NRT,290.68,2.57,D
1.04594,99.34489,337.94,0.42,0.38,2025-07-03,637,N21,VIIRS,n,2.0NRT,295.15,9.05,D
1.34204,98.94544,341.67,0.43,0.38,2025-07-03,637,N21,VIIRS,n,2.0NRT,299.42,36.57,D
1.34553,98.94496,339.03,0.43,0.38,2025-07-03,637,N21,VIIRS,n,2.0NRT,301.14,51.15,D
1.41455,98.91836,329.4,0.43,0.38,2025-07-03,637,N21,VIIRS,n,2.0NRT,297.16,4.98,D
1.41804,98.91784,345.81,0.43,0.38,2025-07-03,637,N21,VIIRS,n,2.0NRT,297.46,4.98,D
1.77144,99.17823,332.98,0.42,0.38,2025-07-03,637,N21,VIIRS,n,2.0NRT,301.07,5.13,D
1.74237,98.69851,335.24,0.44,0.38,2025-07-03,637,N21,VIIRS,n,2.0NRT,299.03,6.41,D
