latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-7.24425,112.703,297.89,0.45,0.63,2025-07-10,1707,N21,VIIRS,n,2.0NRT,284.24,0.57,N
-7.24539,112.69555,337.49,0.38,0.36,2025-07-21,557,N21,VIIRS,l,2.0NRT,309.06,1.81,D
-7.27066,112.68333,306.64,0.43,0.46,2025-07-25,1728,N21,VIIRS,n,2.0NRT,292.3,1.13,N
-7.26945,112.68355,304.31,0.39,0.36,2025-07-29,1752,N21,VIIRS,n,2.0NRT,292.43,0.76,N
-7.15516,112.73069,332.48,0.46,0.39,2025-07-31,610,N21,VIIRS,n,2.0NRT,303.0,3.2,D
-7.15661,112.81763,330.4,0.51,0.66,2025-08-09,642,N21,VIIRS,n,2.0NRT,293.27,2.32,D
-7.24792,112.65697,335.08,0.46,0.47,2025-08-10,625,N21,VIIRS,n,2.0NRT,290.49,3.6,D
-7.24617,112.65733,334.88,0.47,0.47,2025-08-10,625,N21,VIIRS,n,2.0NRT,290.65,4.45,D
-7.27185,112.68105,302.58,0.34,0.56,2025-08-23,1824,N21,VIIRS,n,2.0NRT,290.3,0.47,N
-7.33378,112.81233,304.35,0.45,0.63,2025-08-28,1830,N21,VIIRS,n,2.0NRT,288.66,0.55,N
-7.27084,112.68343,311.91,0.42,0.45,2025-08-29,1813,N21,VIIRS,n,2.0NRT,289.75,1.41,N
-7.26806,112.74123,303.46,0.39,0.36,2025-08-30,1752,N21,VIIRS,n,2.0NRT,284.56,3.12,N
-7.26474,112.74175,330.2,0.39,0.36,2025-08-30,1752,N21,VIIRS,n,2.0NRT,286.26,3.12,N
-7.27131,112.68305,302.49,0.53,0.5,2025-09-03,1817,N21,VIIRS,n,2.0NRT,291.87,2.01,N
-7.26749,112.77124,303.69,0.54,0.51,2025-09-06,1722,N21,VIIRS,n,2.0NRT,290.49,0.73,N
-7.16887,112.66563,308.03,0.42,0.45,2025-09-14,1813,N21,VIIRS,n,2.0NRT,278.12,1.13,N
-7.16954,112.66595,311.75,0.39,0.36,2025-09-15,1752,N21,VIIRS,n,2.0NRT,288.75,2.51,N
-7.22926,112.78339,337.6,0.38,0.43,2025-09-24,538,N21,VIIRS,n,2.0NRT,294.83,2.51,D
-7.34091,112.65904,306.01,0.5,0.41,2025-09-25,1804,N21,VIIRS,n,2.0NRT,292.36,1.21,N
-7.27049,112.68179,313.91,0.43,0.46,2025-09-27,1728,N21,VIIRS,n,2.0NRT,291.36,2.69,N
-7.34484,112.67091,330.24,0.4,0.37,2025-09-28,603,N21,VIIRS,l,2.0NRT,303.0,3.29,D
-7.32044,112.70336,345.02,0.4,0.37,2025-09-28,603,N21,VIIRS,n,2.0NRT,305.77,2.97,D
