latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-2.28345,102.36569,327.3,0.41,0.6,2025-07-01,714,N21,VIIRS,n,2.0NRT,289.47,3.89,D
-2.53262,102.5739,345.28,0.42,0.61,2025-07-01,714,N21,VIIRS,n,2.0NRT,289.25,6.77,D
-2.56702,101.90109,336.02,0.37,0.58,2025-07-01,714,N21,VIIRS,n,2.0NRT,289.64,6.69,D
-2.28981,102.53348,367.0,0.42,0.61,2025-07-01,714,N21,VIIRS,h,2.0NRT,291.28,44.83,D
-2.28328,102.36652,331.99,0.41,0.6,2025-07-01,716,N21,VIIRS,n,2.0NRT,290.09,3.72,D
-1.26447,102.78158,367.0,0.45,0.63,2025-07-01,716,N21,VIIRS,h,2.0NRT,293.58,14.29,D
-1.26377,102.78587,338.92,0.45,0.63,2025-07-01,716,N21,VIIRS,n,2.0NRT,292.77,14.29,D
-1.41695,101.84621,347.18,0.39,0.59,2025-07-01,716,N21,VIIRS,n,2.0NRT,291.63,6.19,D
-1.25873,102.78057,331.69,0.45,0.63,2025-07-01,716,N21,VIIRS,n,2.0NRT,291.93,5.79,D
-1.41523,101.84327,333.92,0.39,0.59,2025-07-01,716,N21,VIIRS,n,2.0NRT,290.95,4.88,D
-1.2633,102.78382,367.0,0.45,0.63,2025-07-01,716,N21,VIIRS,h,2.0NRT,293.61,27.38,D
-1.26397,102.77952,354.2,0.45,0.63,2025-07-01,716,N21,VIIRS,n,2.0NRT,293.01,19.79,D
-0.91497,103.33019,328.0,0.5,0.66,2025-07-01,716,N21,VIIRS,n,2.0NRT,291.6,4.77,D
-1.26237,102.77966,316.39,0.53,0.42,2025-07-01,1815,N21,VIIRS,n,2.0NRT,291.34,2.14,N
-0.98938,103.33404,315.73,0.5,0.41,2025-07-01,1815,N21,VIIRS,n,2.0NRT,283.98,2.29,N
-1.16739,103.33932,301.31,0.49,0.41,2025-07-01,1815,N21,VIIRS,n,2.0NRT,284.95,0.65,N
-1.21593,103.41414,300.38,0.49,0.4,2025-07-01,1815,N21,VIIRS,n,2.0NRT,282.3,1.19,N
-1.24028,102.76392,339.82,0.53,0.42,2025-07-01,1815,N21,VIIRS,n,2.0NRT,291.94,9.86,N
-1.24102,102.76857,349.03,0.53,0.42,2025-07-01,1815,N21,VIIRS,n,2.0NRT,292.14,9.86,N
-1.25855,102.78027,334.87,0.53,0.42,2025-07-01,1815,N21,VIIRS,n,2.0NRT,291.47,3.62,N
-1.25927,102.78486,306.52,0.53,0.42,2025-07-01,1815,N21,VIIRS,n,2.0NRT,290.87,3.62,N
-1.2631,102.78427,311.83,0.53,0.42,2025-07-01,1815,N21,VIIRS,n,2.0NRT,291.19,2.14,N
-1.23318,102.44275,300.95,0.55,0.43,2025-07-01,1815,N21,VIIRS,n,2.0NRT,286.8,0.7,N
-1.57009,103.68893,308.76,0.47,0.4,2025-07-01,1815,N21,VIIRS,n,2.0NRT,283.81,1.59,N
-1.565,103.69516,303.62,0.47,0.4,2025-07-01,1815,N21,VIIRS,n,2.0NRT,284.16,1.24,N
-1.57156,103.68988,320.79,0.47,0.4,2025-07-01,1815,N21,VIIRS,n,2.0NRT,285.36,2.07,N
-1.57451,103.68515,312.86,0.47,0.4,2025-07-01,1815,N21,VIIRS,n,2.0NRT,285.15,2.07,N
-2.31126,103.43073,330.35,0.45,0.47,2025-07-02,657,N21,VIIRS,n,2.0NRT,295.48,4.5,D
-2.41099,102.62907,329.51,0.4,0.44,2025-07-02,657,N21,VIIRS,n,2.0NRT,296.51,3.35,D
-2.41155,102.62547,334.71,0.4,0.44,2025-07-02,657,N21,VIIRS,n,2.0NRT,296.81,3.35,D
-2.37115,102.51347,340.47,0.39,0.44,2025-07-02,657,N21,VIIRS,n,2.0NRT,298.52,5.32,D
-2.36028,102.5299,328.52,0.4,0.44,2025-07-02,657,N21,VIIRS,n,2.0NRT,298.35,3.07,D
-2.33049,102.66433,336.12,0.4,0.44,2025-07-02,657,N21,VIIRS,n,2.0NRT,299.1,4.46,D
-2.28354,102.83311,339.89,0.41,0.45,2025-07-02,657,N21,VIIRS,n,2.0NRT,298.15,6.21,D
-2.23554,103.06094,348.06,0.43,0.46,2025-07-02,657,N21,VIIRS,n,2.0NRT,297.89,8.28,D
-2.2776,102.57554,337.41,0.4,0.44,2025-07-02,657,N21,VIIRS,n,2.0NRT,294.71,3.94,D
-2.16082,103.04517,336.59,0.43,0.46,2025-07-02,657,N21,VIIRS,n,2.0NRT,295.68,68.18,D
-2.15603,103.04829,333.89,0.43,0.46,2025-07-02,657,N21,VIIRS,n,2.0NRT,294.84,4.21,D
-2.01502,103.00283,332.42,0.43,0.46,2025-07-02,657,N21,VIIRS,n,2.0NRT,295.55,7.82,D
-2.23079,101.51229,329.83,0.52,0.41,2025-07-02,657,N21,VIIRS,n,2.0NRT,295.05,3.36,D
-1.7412,102.30145,327.55,0.39,0.44,2025-07-02,657,N21,VIIRS,n,2.0NRT,292.9,2.87,D
-1.2698,102.6175,340.69,0.42,0.45,2025-07-02,657,N21,VIIRS,n,2.0NRT,293.18,7.07,D
-1.26446,102.59785,339.42,0.41,0.45,2025-07-02,657,N21,VIIRS,n,2.0NRT,289.57,7.24,D
-1.26034,102.59719,336.07,0.41,0.45,2025-07-02,657,N21,VIIRS,n,2.0NRT,288.37,4.26,D
-1.06937,102.84141,338.63,0.43,0.46,2025-07-02,657,N21,VIIRS,n,2.0NRT,292.39,5.22,D
-0.87649,103.24708,328.86,0.46,0.47,2025-07-02,657,N21,VIIRS,n,2.0NRT,291.83,4.59,D
-1.23956,102.7699,314.04,0.37,0.58,2025-07-02,1758,N21,VIIRS,n,2.0NRT,276.73,1.35,N
-1.23886,102.76889,308.05,0.37,0.58,2025-07-02,1758,N21,VIIRS,n,2.0NRT,276.7,1.53,N
-2.37778,102.53328,330.3,0.38,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,295.35,19.32,D
-2.3783,102.52984,332.45,0.38,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,301.38,19.32,D
-2.32938,102.76207,344.74,0.39,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,297.94,5.48,D
-2.36178,102.52734,337.09,0.38,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,296.12,4.54,D
-2.23634,103.06003,330.5,0.39,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,295.99,2.21,D
-2.3099,102.57931,330.85,0.39,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,297.06,1.8,D
-2.344,101.99728,338.41,0.38,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,293.04,8.53,D
-2.28371,102.37074,334.28,0.38,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,295.56,5.65,D
-2.29376,102.03885,330.92,0.38,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,290.67,7.73,D
-2.24818,102.18285,330.38,0.38,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,295.22,3.04,D
-2.17367,102.09055,343.5,0.38,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,288.79,9.39,D
-2.15975,102.13757,332.6,0.38,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,293.03,3.8,D
-2.01609,102.76593,330.76,0.39,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,291.39,2.17,D
-1.71541,103.86781,332.69,0.41,0.37,2025-07-03,637,N21,VIIRS,n,2.0NRT,297.1,2.83,D
-1.76468,103.18674,332.39,0.39,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,296.65,3.89,D
-1.25959,102.77905,327.1,0.39,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,272.56,4.12,D
-1.2407,102.76825,330.38,0.39,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,274.41,5.26,D
-1.23738,102.76773,337.64,0.39,0.36,2025-07-03,637,N21,VIIRS,n,2.0NRT,272.76,4.58,D
-0.99014,103.33234,309.37,0.72,0.76,2025-07-03,1739,N21,VIIRS,n,2.0NRT,285.43,2.81,N
